"Product ID","Product Name","Category String",Price,"Calculated Price","Product Not Visible","Product Visible","Allow Purchases","Product Availability","Brand + Name","Page Title","Product URL","Product Images"
9291,"Classy 100% Pure Indian Remy Human Hair Full Lace Wig Keeley","Lace Wigs;Lace Wigs/Human Hair Lace Wigs;Lace Wigs/Full Lace Wigs",389.00,389.00,True,,True,," Classy 100% Pure Indian Remy Human Hair Full Lace Wig Keeley",,/classy-100-pure-indian-remy-human-hair-full-lace-wig-keeley/,"Product Image URL: http://tophairwigs.com/product_images/k/036/keely__11275.jpg"
9292,"Freetress Equal Premium Synthetic Hair Lace Front Wig Solange","Lace Wigs;Lace Wigs/Synthetic Hair Lace Wigs",34.99,34.99,True,,True,,"Equal  Freetress Equal Premium Synthetic Hair Lace Front Wig Solange",,/freetress-equal-pRemyum-synthetic-hair-lace-front-wig-solange/,"Product Image URL: http://tophairwigs.com/product_images/e/639/WLSOL_Solange__66286.jpg"
9293,"Silhouette 100% Pure Remy Human Hair Full Lace Wig Lace 002","Lace Wigs",299.00,299.00,True,,True,," Silhouette 100% Pure Remy Human Hair Full Lace Wig Lace 002",,/silhouette-100-pure-remy-human-hair-full-lace-wig-lace-002/,"Product Image URL: http://tophairwigs.com/product_images/h/241/Lace002__50114.jpg"
9300,"Zury 100% Remy Human Hair Lace Front Wig HRH-Chanel","Lace Wigs;Lace Wigs/Human Hair Lace Wigs",139.00,139.00,True,,True,,"Zury  Zury 100% Remy Human Hair Lace Front Wig HRH-Chanel",,/zury-100-remy-human-hair-lace-front-wig-hrh-chanel/,"Product Image URL: http://tophairwigs.com/product_images/o/670/hrhchanel__59692.jpg"
9301,"Zury 100% Remy Human Hair Lace Front Wig HRH-Sugar","Lace Wigs",229.00,229.00,True,,True,,"Zury  Zury 100% Remy Human Hair Lace Front Wig HRH-Sugar",,/zury-100-remy-human-hair-lace-front-wig-hrh-sugar/,"Product Image URL: http://tophairwigs.com/product_images/h/952/HRH%20LACE%20WIG%20SUGAR%28s%29__44840.jpg"
9302,"Freetress Equal Synthetic Hair Lace Front Wig Keyshia","Lace Wigs;Lace Wigs/Synthetic Hair Lace Wigs",28.99,28.99,True,,True,,"Equal  Freetress Equal Synthetic Hair Lace Front Wig Keyshia",,/freetress-equal-synthetic-hair-lace-front-wig-keyshia/,"Product Image URL: http://tophairwigs.com/product_images/r/407/WLHIA_KEYSHIA__64176.jpg"
9303,"Harlem Synthetic Hair Lace Front Wig LU110","Lace Wigs;Lace Wigs/Synthetic Hair Lace Wigs",35.00,35.00,True,,True,," Harlem Synthetic Hair Lace Front Wig LU110",,/harlem-synthetic-hair-lace-front-wig-lu110/,"Product Image URL: http://tophairwigs.com/product_images/k/398/LU110__39239.jpg"
9304,"Silhouette Hand Made 100% Pure Remy Human Hair Wig Lace 004","Lace Wigs",299.00,299.00,True,,True,," Silhouette Hand Made 100% Pure Remy Human Hair Wig Lace 004",,/silhouette-hand-made-100-pure-remy-human-hair-wig-lace-004/,"Product Image URL: http://tophairwigs.com/product_images/n/532/Lace004-tile__13293.jpg"
9308,"Freetress Equal Premium Synthetic Hair Lace Front Wig Missy","Lace Wigs;Lace Wigs/Synthetic Hair Lace Wigs",33.50,33.50,,True,True,,"Equal  Freetress Equal Premium Synthetic Hair Lace Front Wig Missy",,/freetress-equal-pRemyum-synthetic-hair-lace-front-wig-missy/,"Product Image URL: http://tophairwigs.com/product_images/d/544/WFMIS_Missy__29351.jpg"
9311,"Janet Collection Premium Synthetic Hair Full Lace Wig Pearl","Lace Wigs;Lace Wigs/Synthetic Hair Lace Wigs;Lace Wigs/Full Lace Wigs",34.00,34.00,True,,True,,"Janet Collection  Janet Collection Premium Synthetic Hair Full Lace Wig Pearl",,/janet-collection-pRemyum-synthetic-hair-full-lace-wig-pearl/,"Product Image URL: http://tophairwigs.com/product_images/z/064/janetPEARL__69333.jpg"
9312,"Janet Collection Premium Synthetic Hair Full Lace Wig Opal","Lace Wigs;Lace Wigs/Synthetic Hair Lace Wigs;Lace Wigs/Full Lace Wigs",34.00,34.00,True,,True,,"Janet Collection  Janet Collection Premium Synthetic Hair Full Lace Wig Opal",,/janet-collection-pRemyum-synthetic-hair-full-lace-wig-opal/,"Product Image URL: http://tophairwigs.com/product_images/h/276/OPAL-wig1__79783.jpg"
9313,"Saga Remy Human Hair Yaky Weave","Weaves/Remy Weaving Hair",59.00,59.00,,True,True,,"Saga  Saga Remy Human Hair Yaky Weave",,/saga-remy-human-hair-yaky-weave/,"Product Image URL: http://tophairwigs.com/product_images/g/654/Saga-YAKY-STRAIGHT-4__85828.jpg"
20454,"[S]Length=10s""",,,,,,,,,,,
20455,"[S]Length=10s""",,,,,,,,,,,
20456,"[S]Length=10s""",,,,,,,,,,,
20457,"[S]Length=10s""",,,,,,,,,,,
20458,"[S]Length=10s""",,,,,,,,,,,
20459,"[S]Length=10""",,,,,,,,,,,
20460,"[S]Length=10s""",,,,,,,,,,,
20461,"[S]Length=10s""",,,,,,,,,,,
20462,"[S]Length=10s""",,,,,,,,,,,
20463,"[S]Length=10s""",,,,,,,,,,,
20464,"[S]Length=10s""",,,,,,,,,,,
20465,"[S]Length=10""",,,,,,,,,,,
20466,"[S]Length=10""",,,,,,,,,,,
20467,"[S]Length=10""",,,,,,,,,,,
20468,"[S]Length=10""",,,,,,,,,,,
20469,"[S]Length=10""",,,,,,,,,,,
20470,"[S]Length=10""",,,,,,,,,,,
20471,"[S]Length=10""",,,,,,,,,,,
20472,"[S]Length=10""",,,,,,,,,,,
20473,"[S]Length=10""",,,,,,,,,,,
20474,"[S]Length=10""",,,,,,,,,,,
20475,"[S]Length=12""",,,,,,,,,,,
20476,"[S]Length=12""",,,,,,,,,,,
20477,"[S]Length=12""",,,,,,,,,,,
20478,"[S]Length=12""",,,,,,,,,,,
20479,"[S]Length=12""",,,,,,,,,,,
20480,"[S]Length=12""",,,,,,,,,,,
20481,"[S]Length=12""",,,,,,,,,,,
20482,"[S]Length=12""",,,,,,,,,,,
20483,"[S]Length=12""",,,,,,,,,,,
